date,calls,abnd,att,awt,awtx Abnd ,YN
17/05/2017,464,137,38.8,103.7166667,9.37E-01,10
18/05/2017,518,186,51,179.2833333,1.496215278,6
19/05/2017,643,229,35.45,135.2666667,1.830150464,3
22/05/2017,555,239,26.33333333,124.1833333,2.413912037,5
23/05/2017,467,163,35.2,124.5833333,1.126643519,12
24/05/2017,466,112,32.8,59.95,0.574305556,10
25/05/2017,474,181,26.95,120.75,1.574756944,6
26/05/2017,491,179,33,120.9,1.232199074,10
29/05/2017,557,223,25.06666667,123.4333333,1.566817129,9
30/05/2017,413,126,36.2,82.21666667,0.823275462,13
31/05/2017,364,113,39.91666667,106.5,0.707476851,8
01/06/2017,532,209,22.8,110.4333334,1.774918983,6
02/06/2017,581,239,36.48333333,117.45,1.97545139,4
05/06/2017,730,449,38.53333333,178.4833333,4.877534721,3
06/06/2017,518,220,45.66666667,122.2666667,1.703206018,5
07/06/2017,544,252,33.91666667,123.1833333,2.215474538,4
08/06/2017,599,362,28.68333333,162.0166667,3.991620371,4
09/06/2017,618,308,29.13333333,146.2,3.536701388,6
13/06/2017,777,398,31.58333333,151.1666667,4.525324074,3
14/06/2017,541,270,34.48333333,168.0333333,2.677326388,5
15/06/2017,573,198,36.3,155.45,1.537986111,7
16/06/2017,681,362,37.36666667,167.4333333,4.041400464,4
19/06/2017,641,324,25.25,138,3.460717591,5
20/06/2017,540,236,36.11666667,145.0166667,1.966076392,5
21/06/2017,429,64,26.86666667,43.75,0.225972222,13
22/06/2017,463,153,25.81666667,80.48333334,1.017719907,9
23/06/2017,599,302,42.31666667,160.7833333,3.181342592,6
26/06/2017,553,209,31.95,127.75,1.689398147,9
27/06/2017,454,172,29.86666667,95.31666667,1.20851852,10
28/06/2017,442,171,36.38333333,96.33333333,1.099467592,11
29/06/2017,573,195,32.65,95.13333333,1.327326388,11
30/06/2017,560,192,27.96666667,116.8666667,1.48943287,7
03/07/2017,555,247,34,119.0333333,2.093981481,6
04/07/2017,450,154,44.81666667,125.0166667,1.160752316,5
05/07/2017,436,151,35.11666667,71.73333333,0.988703702,7
06/07/2017,535,204,34.63333333,107.0333333,1.864756945,6
07/07/2017,523,196,39.58333333,103.1666667,1.486203704,8
10/07/2017,508,146,34.96666667,89.06666668,0.950648147,12
11/07/2017,420,119,39.93333333,72.28333334,0.868599537,9
12/07/2017,448,98,42.91666667,69.63333333,0.440393518,10
13/07/2017,499,145,37.86666667,109.4,1.186377316,9
14/07/2017,563,196,39.18333333,137.0166667,1.462581019,12
17/07/2017,595,226,35.4,121.4166667,1.860636574,4
18/07/2017,528,180,47.16666667,121.25,1.257905092,8
19/07/2017,452,112,36.2,59.13333333,0.69263889,14
20/07/2017,524,141,33.03333333,78.56666667,0.951342594,13
21/07/2017,492,126,35.88333333,80.2,0.7490625,13
24/07/2017,573,209,46.58333333,122.8333333,1.4240625,9
25/07/2017,478,168,42.85,106.8333333,1.13712963,10
26/07/2017,481,107,40.03333333,87.53333333,0.447766204,16
27/07/2017,620,233,39.01666667,137.8833333,1.915150464,6
31/07/2017,833,484,43.66666667,195.8333333,5.828726851,4
02/07/2016,3,3,0,12.8,0.009293981,1
16/07/2016,1,1,0,0.7,0.000486111,1
22/07/2016,11,11,0,41.2,0.059791667,3
23/07/2016,1,1,0,0.283333333,0.000196759,1
06/08/2016,1,1,0,0.3,0.000208333,1
13/08/2016,1,1,0,0.766666667,0.000532407,1
20/08/2016,3,3,0,1.233333333,0.001377315,2
10/09/2016,1,1,0,0.783333333,0.000543981,1
17/09/2016,1,1,0,0.316666667,0.000219907,1
08/10/2016,1,1,0,0.333333333,0.000231481,1
29/10/2016,1,1,0,0.683333333,0.000474537,1
12/11/2016,1,1,0,0.8,0.000555556,1
19/11/2016,1,1,0,0.65,0.000451389,1
26/11/2016,1,1,0,0.2,0.000138889,1
27/11/2016,3,3,0,0.85,0.001030093,2
03/12/2016,1,1,0,0.666666667,0.000462963,1
04/12/2016,3,3,0,1.549999999,1.08E-03,3
10/12/2016,2,2,0,1.033333334,0.000717593,2
24/12/2016,1,1,0,0.383333333,0.000266204,1
26/12/2016,1,1,0,0.533333333,0.00037037,1
27/12/2016,1,1,0,0.666666667,0.000462963,1
28/12/2016,12,12,0,4.333333334,0.005358797,6
29/12/2016,6,6,0,5.65,0.005381945,4
07/01/2017,1,1,0,0.366666667,0.00025463,1
08/01/2017,1,1,0,0.833333333,0.000578704,1
26/01/2017,1,1,0,0.666666667,0.000462963,1
28/01/2017,1,1,0,0.033333333,2.31E-05,1
29/01/2017,2,2,0,0.9,0.000625,2
04/02/2017,3,3,0,35.58333334,0.024710648,2
11/02/2017,1,1,0,0.7,0.000486111,1
12/02/2017,3,3,0,1.283333334,0.000891203,3
14/02/2017,438,119,28.58333333,55.75,0.651944444,9
25/02/2017,1,1,0,0.833333333,0.000578704,1
18/03/2017,2,2,0,0.516666667,0.000717593,1
19/03/2017,1,1,0,0.3,0.000208333,1
25/03/2017,2,2,0,2.183333333,0.001516203,2
26/03/2017,2,2,0,1.566666667,0.001087963,2
29/03/2017,369,50,22.58333333,39.48333333,0.197337963,9
01/04/2017,1,1,0,0.3,0.000208333,1
02/04/2017,2,2,0,0.633333333,4.40E-04,2
08/04/2017,2,2,0,5.65,0.007847222,1
14/04/2017,1,1,0,0.583333333,0.000405093,1
15/04/2017,2,2,0,1.5,0.001041667,2
22/04/2017,3,3,0,0.583333334,0.000729167,2
23/04/2017,1,1,0,0.633333333,0.000439815,1
25/04/2017,1,1,0,1.116666667,0.000775463,1
06/05/2017,4,4,0,0.366666667,0.000763889,2
07/05/2017,2,2,0,1.083333334,0.000752315,2
13/05/2017,6,6,0,2.916666667,0.002314815,5
14/05/2017,1,1,0,0.55,0.000381944,1
27/05/2017,1,1,0,0.55,0.000381944,1
03/06/2017,2,2,0,2.033333333,0.001412037,2
04/06/2017,1,1,0,0.75,0.000520833,1
10/06/2017,2,2,0,0.95,0.000659722,2
11/06/2017,2,2,0,1.2,0.000833333,2
17/06/2017,1,1,0,0.4,0.000277778,1
24/06/2017,3,3,0,0.833333333,0.000949074,2
25/06/2017,1,1,0,0.483333333,0.000335648,1
01/07/2017,2,2,0,0.866666667,0.000601852,2
22/07/2017,1,1,0,0.3,0.000208333,1
28/07/2017,20,20,0,28.96666666,0.097256945,5
01/08/2017,555,194,31.78333333,138.3666667,1.54681713,5
